Title,Date,URL,Preview
PTC v71 Release Thread,yesterday,/t5/Announcements/PTC-v71-Release-Thread/ba-p/1248876,"The Public Test Channel (PTC) for Quest v71 is starting to roll out soon
for Meta Quest 2, Meta Quest Pro, and Meta Quest 3. If you're seeing an
issue or bug after updating to PTC v71: 1) For issues: ..."
Meta Quest build v69 release notes,09-07-2024,/t5/Announcements/Meta-Quest-build-v69-release-notes/ba-p/1237980,"Woohoo! v69 is starting to roll out! These features and enhancements
will become available starting the week of September 5, 2024 and will be
pushed to Meta Quest 3, Meta Quest Pro and Meta Quest 2 he..."
PTC v69 Release Thread,08-09-2024,/t5/Announcements/PTC-v69-Release-Thread/ba-p/1228094,"The Public Test Channel (PTC) for Quest v69 is starting to roll out soon
for Meta Quest 2, Meta Quest Pro, and Meta Quest 3. If you're seeing an
issue or bug after updating to PTC v69: 1) For issues: ..."
Meta Quest mobile app is getting a new name and look,07-22-2024,/t5/Announcements/Meta-Quest-mobile-app-is-getting-a-new-name-and-look/ba-p/1220439,"We’ve been making our mobile app better so you can explore experiences
easier than ever, right from your phone. Here’s what’s new: Dynamic
self-expression: Easily refresh your avatar with regularly up..."
PTC v68 Release Thread,07-15-2024,/t5/Announcements/PTC-v68-Release-Thread/ba-p/1218151,"Thanks everyone for all your feedback on our previous builds, several
bugs were identified in PTC v67 and the solutions for some have shipped,
while others are on the way!The Public Test Channel (PTC)..."
Meta Quest build v67 release notes,07-08-2024,/t5/Announcements/Meta-Quest-build-v67-release-notes/ba-p/1215574,"These features and enhancements are becoming available starting this
week of July 8, 2024 and are pushed to Meta Quest 3, Meta Quest Pro and
Meta Quest 2 headsets. Please note that you can find the mo..."
PTC v67 Release Thread,06-25-2024,/t5/Announcements/PTC-v67-Release-Thread/ba-p/1209832,"Thanks everyone for all your feedback on our previous builds, several
bugs were identified in PTC v66 and the solutions for some have shipped,
while others are on the way!The Public Test Channel (PTC)..."
Meta Quest build v66 release notes,06-24-2024,/t5/Announcements/Meta-Quest-build-v66-release-notes/ba-p/1209566,"These features and enhancements have already become available starting
the week of June 3, 2024 and were pushed to Meta Quest 3, Meta Quest Pro
and Meta Quest 2 headsets. Please note that you can find..."
Meta Community AMA: June 2024!,06-10-2024,/t5/Announcements/Meta-Community-AMA-June-2024/ba-p/1203812,"It’s June 10th and we’re giving a start to another monthly AMA this
week! This time around will be a general product questions one. Get
questions ready that you’d like to get answered from our Meta Qu..."
‘Batman: Arkham Shadow’ Debuts Story Trailer and New Details at Summer Game Fest,06-07-2024,/t5/Announcements/Batman-Arkham-Shadow-Debuts-Story-Trailer-and-New-Details-at/ba-p/1202778,"Hopefully you tuned into Summer Game Fest today for the reveal of the
new Batman: Arkham Shadow trailer—but if not, don’t worry. You can find
the new trailer on the blog:
https://www.meta.com/blog/que..."
"A Meta Quest Forum Week in Review: June 5, 2024",06-05-2024,/t5/Announcements/A-Meta-Quest-Forum-Week-in-Review-June-5-2024/ba-p/1202044,"Summer is officially here and things are heating up especially here in
the forums! This post is here to celebrate all the great things that
have been happening around these parts and give thanks to YO..."
‘Beat Saber’ Drops Five Free Tracks With Original Soundtrack 7,06-04-2024,/t5/Announcements/Beat-Saber-Drops-Five-Free-Tracks-With-Original-Soundtrack-7/ba-p/1201184,"What’s better than six years of Beat Saber? A brand-new Original
Soundtrack! Check out the blog for the full track list:
https://www.meta.com/blog/quest/beat-saber-ost7"
"Facts: ‘Supernatural’ = Vigorous Cardio, + New MR Mode",06-04-2024,/t5/Announcements/Facts-Supernatural-Vigorous-Cardio-New-MR-Mode/ba-p/1201182,"We’ve known for years that working out with Meta Quest is convenient,
affordable, and—most of all—fun. And today, we’re adding “effective” to
that list for Supernatural, thanks to a rigorous, first-of..."
"Meta Quest v66 Update: Reduced Passthrough Distortion, Background Audio Support, and More",06-04-2024,/t5/Announcements/Meta-Quest-v66-Update-Reduced-Passthrough-Distortion-Background/ba-p/1201180,"With v66, we’re reducing the amount of visual distortion in Passthrough
on Meta Quest 3. We’ve put out a number of Passthrough-related
improvements in the last few software updates, but this is the bi..."
Meta Quest 3: Your All-in-One MR Headset That’s Always Getting Better,06-04-2024,/t5/Announcements/Meta-Quest-3-Your-All-in-One-MR-Headset-That-s-Always-Getting/ba-p/1201178,"Today, we’re sharing some breaking news, recapping our recent updates
ICYMI, and looking ahead to our 11th annual Connect! Visit the blog for
details:
https://www.meta.com/blog/quest/supernatural-vr-f..."
New Visual Improvements to ‘Asgard’s Wrath 2’ as it Kicks Off Smiter-Themed Cosmic Event,05-31-2024,/t5/Announcements/New-Visual-Improvements-to-Asgard-s-Wrath-2-as-it-Kicks-Off/ba-p/1199849,"It’s a Smiter Epidemic, as the award-winning Asgard’s Wrath 2 kicks off
its latest time-limited Cosmic Event. But that’s not all! This month,
Asgard’s Wrath 2 also gets upgraded visuals on Meta Quest ..."
"‘POPULATION: ONE’ Developers Discuss Phoenix Royale Update, Preview Weekend Now Live",05-31-2024,/t5/Announcements/POPULATION-ONE-Developers-Discuss-Phoenix-Royale-Update-Preview/ba-p/1199846,"POPULATION: ONE is the #1 VR battle royal, and its huge new update is
coming on June 6. Phoenix Royale is a free content update featuring
automatic redeploys to get you back in the fight faster, with ..."
"A Meta Quest Forum Week in Review: May 22, 2024",05-22-2024,/t5/Announcements/A-Meta-Quest-Forum-Week-in-Review-May-22-2024/ba-p/1196435,"May is flying by, but that's no stopping us from celebrating another
week full of great happenings here on the forums! This past week has
been a good one with discussions happening all around. This po..."
"A Meta Quest Forum Week in Review: May 15, 2024",05-15-2024,/t5/Announcements/A-Meta-Quest-Forum-Week-in-Review-May-15-2024/ba-p/1194121,"Happy week everyone! This is another chance to celebrate our awesome
community and gosh darnit we're taking it. Thanks to YOU we've been
having awesome discussions all around these parts during this p..."
PTC v66 Release Thread,05-15-2024,/t5/Announcements/PTC-v66-Release-Thread/ba-p/1194106,"Thanks everyone for all your feedback on our previous builds, several
bugs were identified in PTC v65 and the solutions for some have shipped,
while others are on the way!The Public Test Channel (PTC)..."
"A Meta Quest Forum Week in Review: May 8, 2024",05-08-2024,/t5/Announcements/A-Meta-Quest-Forum-Week-in-Review-May-8-2024/ba-p/1191943,"Did everyone have a good week? Well we sure did here on these forums,
thanks to YOU! Big ups to our awesome community members. We've been
having great discussions and so much more during the week. Thi..."
Meta Community AMA: May 2024 Kickoff!,05-06-2024,/t5/Announcements/Meta-Community-AMA-May-2024-Kickoff/ba-p/1191102,"Alright Meta Community, it is May 6th and time to kick off our first
ever AMA! We are blasting off this series of events with our Link Team.
Ask your questions to our Product Managers, Engineers and D..."
"A Meta Quest Forum Week in Review: May 1, 2024",05-01-2024,/t5/Announcements/A-Meta-Quest-Forum-Week-in-Review-May-1-2024/ba-p/1189364,"Another week, another chance to celebrate YOU, our awesome community
members with an installment of our Meta Quest Forum Week in Review. This
is a post to gather some of the forum's top happenings dur..."
